issue.
, 1 
reform", 1 
being, 1 
deportation.
, 1 
move, 1 
allegations, 1 
years, 2 
not, 1 
years.
, 1 
deported, 2 
judges, 1 
group, 1 
had, 1 
removal, 1 
to, 7 
only, 1 
2016, 1 
thousands, 1 
ago,, 1 
tests, 1 
someone, 1 
which, 2 
government, 1 
TOEIC, 1 
migrants, 1 
every, 1 
foreigners, 1 
report, 1 
using, 1 
now, 1 
target, 1 
knock, 1 
regarding, 1 
policy,, 1 
retake, 1 
countries, 1 
India, 1 
(CNN)Four, 1 
calling, 1 
leave, 1 
--, 1 
London, 1 
emerged,, 1 
served, 1 
policies.
, 1 
set, 1 
For, 1 
people, 2 
generation, 1 
sign, 1 
Committee, 1 
scrutinize, 1 
officials, 1 
are, 1 
others,, 1 
Committee,, 1 
living, 1 
for, 3 
currently, 1 
legal, 1 
its, 2 
senior, 1 
emerged, 1 
receiving, 1 
basis, 1 
after, 1 
recently, 1 
interpreters, 1 
threatened, 1 
refused, 1 
MPs, 1 
members, 2 
English, 1 
by, 3 
Commonwealth, 1 
on, 3 
revoked, 2 
language, 1 
of, 15 
study, 1 
citizens, 1 
countries,, 1 
according, 1 
4,600, 1 
UK, 2 
Home, 5 
or, 4 
nearby, 1 
letters, 1 
Affairs, 2 

, 1 
one, 1 
environment", 1 
But, 1 
has, 1 
cheating, 1 
from, 4 
arrest, 1 
ordering, 1 
department's, 1 
two, 2 
been, 2 
their, 2 
visas, 1 
wrongdoing, 1 
Afghan, 1 
was, 3 
speaking, 1 
more, 2 
door, 1 
that, 1 
These, 1 
subjecting, 1 
exam.
, 1 
immigration, 1 
else, 1 
cross-party, 1 
28,000, 1 
branch, 1 
known, 1 
cases, 1 
with, 2 
than, 2 
must, 1 
handling, 1 
applying, 1 
students,, 2 
Office, 2 
"hostile, 1 
work, 1 
Windrush, 1 
accused, 2 
Those, 1 
were, 1 
country, 2 
and, 7 
bearing, 1 
have, 1 
is, 3 
them, 2 
an, 2 
as, 1 
at, 1 
claims,, 1 
in, 3 
facing, 1 
Dozens, 1 
levelled, 1 
parliamentary, 1 
Parliament, 1 
sit, 1 
Office.
, 1 
began, 1 
department,, 1 
"root, 1 
accusations, 2 
test, 2 
several, 1 
wrongly, 1 
who, 3 
British, 2 
visa, 3 
designed, 1 
military, 1 
approved, 1 
warrant.
, 1 
a, 5 
so-called, 1 
many, 2 
illegally.
, 1 
It, 2 
face, 1 
UK., 1 
UK,, 1 
In, 1 
serious, 1 
the, 24 
first, 2 
granted, 1 
non-EU, 1 
